county_fips,hrsa_region,state,county,low_income_pct,obgyn_provider_rate_100k,prenatal_care_first_trimester_pct,obesity_pre_pregnancy_pct,diabetes_pre_pregnancy_pct,hypertension_pre_pregnancy_pct,cesarean_delivery_all_pct,(#) Women 15-44 Years of Age by Race - Asian,(%) Women 15-44 Years of Age by Race - Asian,NCHS Urban-Rural Classification,(#) Women 15-44 Years of Age by Race - More than one race,(%) Women 15-44 Years of Age by Race - More than one race,(#) Women 15-44 Years of Age by Race - White,(%) Women 15-44 Years of Age by Race - White,Uninsured Women 18-49 Years of Age (%),(#) Women 15-44 Years of Age by Race - Black or African American,(%) Women 15-44 Years of Age by Race - Black or African American,(#) Women 15-44 Years of Age by Race - American Indian or Alaska Native,(%) Women 15-44 Years of Age by Race - American Indian or Alaska Native,(#) Women 15-44 Years of Age by Ethnicity - Hispanic or Latina,(%) Women 15-44 Years of Age by Ethnicity - Hispanic or Latina,(#) Women 15-44 Years of Age by Race - Native Hawaiian or Other Pacific Islander,(%) Women 15-44 Years of Age by Race - Native Hawaiian or Other Pacific Islander,(#) Women 15-44 Years of Age by Ethnicity - Not Hispanic or Latina,(%) Women 15-44 Years of Age by Ethnicity - Not Hispanic or Latina,"Birth Rate (per 1,000)"
1001,4,Alabama,Autauga County,22.7,3.5,71.8,32.1,1.1,3,37.6,176,1.5,Medium metro,207,1.8,8349,72,12.6,2810,24.2,41,0.4,439,3.8,17,0.1,11161,96.2,12
1003,4,Alabama,Baldwin County,21,19.4,78.3,28,1.2,3.3,31.6,812,2,Small metro,861,2.1,34904,84.5,14.2,4347,10.5,325,0.8,2324,5.6,35,0.1,38960,94.4,10.2
1005,4,Alabama,Barbour County,43.5,0,67.4,41.2,1.1,4.6,34.5,26,0.7,Non-core,54,1.4,1611,42.5,15.8,2057,54.3,31,0.8,195,5.1,11,0.3,3595,94.9,11
1007,4,Alabama,Bibb County,35.1,0,66.4,37.5,1.1,3.1,33.4,8,0.2,Large fringe metro,43,1.2,2869,78.9,13.2,693,19.1,17,0.5,147,4,5,0.1,3488,96,11
1009,4,Alabama,Blount County,28,3.4,72.3,32.8,1.2,2.9,33.4,45,0.4,Large fringe metro,152,1.5,9961,95.4,15.3,199,1.9,71,0.7,1231,11.8,16,0.2,9213,88.2,11.4
1011,4,Alabama,Bullock County,49.1,0,63,38.2,1.2,3.7,37.2,3,0.2,Non-core,26,1.7,316,20.2,16.3,1169,74.8,25,1.6,214,13.7,24,1.5,1349,86.3,10.3
1013,4,Alabama,Butler County,36.7,0,76.9,42.6,1.8,4.5,40.3,49,1.4,Non-core,25,0.7,1477,43,16.4,1866,54.4,15,0.4,52,1.5,1,0,3381,98.5,11.3
1015,4,Alabama,Calhoun County,32.2,18.7,76.1,37.8,0.9,2.6,33,209,0.9,Small metro,474,2.1,15916,71.1,16.4,5653,25.2,104,0.5,1019,4.6,33,0.1,21370,95.4,11.3
1017,4,Alabama,Chambers County,39.4,5.8,74.3,40.6,1.3,3.4,39.3,53,0.9,Micropolitan,73,1.2,3133,51,15.1,2855,46.5,21,0.3,149,2.4,5,0.1,5991,97.6,11.4
1019,4,Alabama,Cherokee County,33.4,0,72.1,35.6,0.9,2.7,31.2,24,0.6,Non-core,81,2.1,3636,92.8,15.5,140,3.6,35,0.9,121,3.1,2,0.1,3797,96.9,9.5
1021,4,Alabama,Chilton County,28,0,72.3,37.1,0.8,3.3,34.7,52,0.6,Large fringe metro,103,1.2,7194,86.3,18.8,919,11,54,0.6,697,8.4,17,0.2,7642,91.6,12.2
1023,4,Alabama,Choctaw County,33.4,0,79.1,39.7,1,5.3,41.2,11,0.5,Non-core,16,0.8,1114,55.3,16.3,872,43.3,3,0.1,29,1.4,0,0,1987,98.6,10.8
1025,4,Alabama,Clarke County,33.5,0,74.1,40.3,1.3,6.5,46.4,24,0.6,Non-core,53,1.3,1972,47.5,15.3,2077,50,24,0.6,67,1.6,2,0,4085,98.4,12.7
1027,4,Alabama,Clay County,35.3,0,76.3,36.6,0.9,2.4,36.9,10,0.4,Non-core,43,1.8,1966,82.2,17.6,362,15.1,10,0.4,83,3.5,0,0,2308,96.5,11.2
1029,4,Alabama,Cleburne County,25.6,0,74.1,35.6,0.9,2.5,32.6,5,0.2,Non-core,29,1.1,2400,94.9,15.5,79,3.1,15,0.6,75,3,1,0,2454,97,11.8
1031,4,Alabama,Coffee County,27.8,14.8,69.3,37.5,0.9,3.1,29.9,224,2.2,Micropolitan,307,3.1,7398,74.1,13.8,1870,18.7,143,1.4,1018,10.2,45,0.5,8969,89.8,12.7
1033,4,Alabama,Colbert County,29.3,10.4,69.5,35.9,1.5,2.8,35.4,103,1,Small metro,231,2.2,8042,77.8,14,1877,18.1,77,0.7,406,3.9,12,0.1,9936,96.1,11
1035,4,Alabama,Conecuh County,37.7,0,75.7,43.4,1.7,4.3,44.6,3,0.2,Non-core,39,2.1,809,43.8,13.7,988,53.6,6,0.3,64,3.5,0,0,1781,96.5,11.1
1037,4,Alabama,Coosa County,28.3,18.8,74.8,33,0.8,4,37.6,4,0.3,Micropolitan,25,1.7,1016,67.2,13.3,454,30,7,0.5,50,3.3,5,0.3,1461,96.7,8.3
1039,4,Alabama,Covington County,35.1,10.5,73,34.8,1.3,3.1,27.2,41,0.6,Non-core,105,1.6,5234,81.5,17.6,987,15.4,56,0.9,135,2.1,0,0,6288,97.9,11.3
1041,4,Alabama,Crenshaw County,31.3,0,74.9,39.4,1.2,3.2,34.4,41,1.8,Non-core,42,1.8,1594,68.9,16.4,620,26.8,16,0.7,50,2.2,0,0,2263,97.8,12
