,index,Year,state,sen_elec_year,sen_leg_start,sen_leg_end,sen_control,house_elec_year,house_leg_start,house_leg_end,house_control,governor_party,gop_trifecta
0,1000,2019,Alabama,2018.0,2019.0,2022.0,R,2018.0,2019.0,2022.0,R,R,1
1,1001,2019,Alaska,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
2,1002,2019,Arizona,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
3,1003,2019,Arkansas,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
4,1004,2019,California,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
5,1005,2019,Colorado,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
6,1006,2019,Connecticut,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
7,1007,2019,Delaware,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
8,1008,2019,Florida,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
9,1009,2019,Georgia,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
10,1010,2019,Hawaii,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
11,1011,2019,Idaho,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
12,1012,2019,Illinois,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
13,1013,2019,Indiana,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
14,1014,2019,Iowa,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
15,1015,2019,Kansas,2016.0,2017.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
16,1016,2019,Kentucky,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
17,1017,2019,Louisiana,2015.0,2016.0,2019.0,R,2015.0,2016.0,2019.0,R,D,0
18,1018,2019,Maine,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
19,1019,2019,Maryland,2018.0,2019.0,2022.0,D,2018.0,2019.0,2022.0,D,R,0
20,1020,2019,Massachusetts,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,R,0
21,1021,2019,Michigan,2018.0,2019.0,2022.0,R,2018.0,2019.0,2020.0,R,D,0
22,1022,2019,Minnesota,2016.0,2017.0,2020.0,R,2018.0,2019.0,2020.0,D,D,0
23,1023,2019,Mississippi,2015.0,2016.0,2019.0,R,2015.0,2016.0,2019.0,R,R,1
24,1024,2019,Missouri,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
25,1025,2019,Montana,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,D,0
26,1026,2019,Nebraska,,,,R,,,,,R,1
27,1027,2019,Nevada,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
28,1028,2019,New_Hampshire,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,R,0
29,1029,2019,New_Jersey,2017.0,2018.0,2021.0,D,2017.0,2018.0,2019.0,D,D,0
30,1030,2019,New_Mexico,2016.0,2017.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
31,1031,2019,New_York,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
32,1032,2019,North_Carolina,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,D,0
33,1033,2019,North_Dakota,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
34,1034,2019,Ohio,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
35,1035,2019,Oklahoma,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
36,1036,2019,Oregon,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
37,1037,2019,Pennsylvania,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,D,0
38,1038,2019,Rhode_Island,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
39,1039,2019,South_Carolina,2016.0,2017.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
40,1040,2019,South_Dakota,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
41,1041,2019,Tennessee,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
42,1042,2019,Texas,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
43,1043,2019,Utah,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
44,1044,2019,Vermont,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,R,0
45,1045,2019,Virginia,2015.0,2016.0,2019.0,R,2017.0,2018.0,2019.0,R,D,0
46,1046,2019,Washington,2018.0,2019.0,2020.0,D,2018.0,2019.0,2020.0,D,D,0
47,1047,2019,West_Virginia,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,D,0
48,1048,2019,Wisconsin,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,D,0
49,1049,2019,Wyoming,2018.0,2019.0,2020.0,R,2018.0,2019.0,2020.0,R,R,1
