state,elec_year,Democrats,Republicans,house_control,leg_start,leg_end
Alabama,1990,82,23,D,1991,1994
Alabama,1994,74,31,D,1995,1998
Alabama,1998,69,36,D,1999,2002
Alabama,2002,64,41,D,2003,2006
Alabama,2006,62,43,D,2007,2010
Alabama,2010,39,66,R,2011,2014
Alabama,2014,33,72,R,2015,2018
Alabama,2018,28,77,R,2019,2022
Alabama,2022,28,77,R,2023,0
Alaska,1992,20,18,D,1993,1994
Alaska,1994,17,22,R,1995,1996
Alaska,1996,16,24,R,1997,1998
Alaska,1998,14,26,R,1999,2000
Alaska,2000,13,27,R,2001,2002
Alaska,2002,13,27,R,2003,2004
Alaska,2004,14,26,R,2005,2006
Alaska,2006,17,23,R,2007,2008
Alaska,2008,18,22,R,2009,2010
Alaska,2010,16,24,R,2011,2012
Alaska,2012,15,25,R,2013,2014
Alaska,2014,16,23,R,2015,2016
Alaska,2016,17,21,R,2017,2018
Alaska,2018,16,23,R,2019,2020
Alaska,2020,15,21,R,2021,2022
Alaska,2022,13,21,R,2023,0
Arizona,1992,25,35,R,1993,1994
Arizona,1994,22,38,R,1995,1996
Arizona,1996,22,38,R,1997,1998
Arizona,1998,20,40,R,1999,2000
Arizona,2000,24,36,R,2001,2002
Arizona,2002,21,39,R,2003,2004
Arizona,2004,22,38,R,2005,2006
Arizona,2006,27,33,R,2007,2008
Arizona,2008,25,35,R,2009,2010
Arizona,2010,20,40,R,2011,2012
Arizona,2012,24,36,R,2013,2014
Arizona,2014,22,38,R,2015,2016
Arizona,2016,25,35,R,2017,2018
Arizona,2018,29,31,R,2019,2020
Arizona,2020,29,31,R,2021,2022
Arizona,2022,29,31,R,2023,0
Arkansas,1992,89,10,D,1993,1994
Arkansas,1994,88,12,D,1995,1996
Arkansas,1996,86,14,D,1997,1998
Arkansas,1998,76,24,D,1999,2000
Arkansas,2000,72,28,D,2001,2002
Arkansas,2002,70,30,D,2003,2004
Arkansas,2004,72,28,D,2005,2006
Arkansas,2006,75,25,D,2007,2008
Arkansas,2008,71,28,D,2009,2010
Arkansas,2010,55,45,D,2011,2012
Arkansas,2012,49,51,R,2013,2014
Arkansas,2014,36,64,R,2015,2016
Arkansas,2016,27,73,R,2017,2018
Arkansas,2018,26,74,R,2019,2020
Arkansas,2020,22,78,R,2021,2022
Arkansas,2022,18,82,R,2023,0
California,1992,48,32,D,1993,1994
