state_abb,state,year,governor_party,
AK,Alaska,2024,R,
AK,Alaska,2023,R,
AK,Alaska,2022,R,
AK,Alaska,2021,R,
AK,Alaska,2020,R,
AK,Alaska,2019,R,
AK,Alaska,2018,R,
AK,Alaska,2017,R,
AL,Alabama,2024,R,
AL,Alabama,2023,R,
AL,Alabama,2022,R,
AL,Alabama,2021,R,
AL,Alabama,2020,R,
AL,Alabama,2019,R,
AL,Alabama,2018,R,
AL,Alabama,2017,R,
AR,Arkansas,2024,R,
AR,Arkansas,2023,R,
AR,Arkansas,2022,R,
AR,Arkansas,2021,R,
AR,Arkansas,2020,R,
AR,Arkansas,2019,R,
AR,Arkansas,2018,R,
AR,Arkansas,2017,R,
AZ,Arizona,2024,D,
AZ,Arizona,2023,D,
AZ,Arizona,2022,R,
AZ,Arizona,2021,R,
AZ,Arizona,2020,R,
AZ,Arizona,2019,R,
AZ,Arizona,2018,R,
AZ,Arizona,2017,R,
CA,California,2024,D,
CA,California,2023,D,
CA,California,2022,D,
CA,California,2021,D,
CA,California,2020,D,
CA,California,2019,D,
CA,California,2018,D,
CA,California,2017,D,
CO,Colorado,2024,D,
CO,Colorado,2023,D,
CO,Colorado,2022,D,
CO,Colorado,2021,D,
CO,Colorado,2020,D,
CO,Colorado,2019,D,
CO,Colorado,2018,D,
CO,Colorado,2017,D,
CT,Connecticut,2024,D,
CT,Connecticut,2023,D,
CT,Connecticut,2022,D,
CT,Connecticut,2021,D,
CT,Connecticut,2020,D,
CT,Connecticut,2019,D,
CT,Connecticut,2018,D,
CT,Connecticut,2017,D,
DE,Delaware,2024,D,
DE,Delaware,2023,D,
DE,Delaware,2022,D,
DE,Delaware,2021,D,
DE,Delaware,2020,D,
DE,Delaware,2019,D,
DE,Delaware,2018,D,
DE,Delaware,2017,D,
FL,Florida,2024,R,
FL,Florida,2023,R,
FL,Florida,2022,R,
FL,Florida,2021,R,
FL,Florida,2020,R,
FL,Florida,2019,R,
FL,Florida,2018,R,
FL,Florida,2017,R,
GA,Georgia,2024,R,
GA,Georgia,2023,R,
GA,Georgia,2022,R,
GA,Georgia,2021,R,
GA,Georgia,2020,R,
GA,Georgia,2019,R,
GA,Georgia,2018,R,
GA,Georgia,2017,R,
HI,Hawaii,2024,D,
HI,Hawaii,2023,D,
HI,Hawaii,2022,D,
HI,Hawaii,2021,D,
HI,Hawaii,2020,D,
HI,Hawaii,2019,D,
HI,Hawaii,2018,D,
HI,Hawaii,2017,D,
IA,Iowa,2024,R,
IA,Iowa,2023,R,
IA,Iowa,2022,R,
IA,Iowa,2021,R,
IA,Iowa,2020,R,
IA,Iowa,2019,R,
IA,Iowa,2018,R,
IA,Iowa,2017,R,
ID,Idaho,2024,R,
ID,Idaho,2023,R,
ID,Idaho,2022,R,
ID,Idaho,2021,R,
ID,Idaho,2020,R,
ID,Idaho,2019,R,
ID,Idaho,2018,R,
ID,Idaho,2017,R,
IL,Illinois,2024,D,
IL,Illinois,2023,D,
IL,Illinois,2022,D,
IL,Illinois,2021,D,
IL,Illinois,2020,D,
IL,Illinois,2019,D,
IL,Illinois,2018,R,
IL,Illinois,2017,R,
IN,Indiana,2024,R,
IN,Indiana,2023,R,
IN,Indiana,2022,R,
IN,Indiana,2021,R,
IN,Indiana,2020,R,
IN,Indiana,2019,R,
IN,Indiana,2018,R,
IN,Indiana,2017,R,
KS,Kansas,2024,R,
KS,Kansas,2023,R,
KS,Kansas,2022,R,
KS,Kansas,2021,R,
KS,Kansas,2020,R,
KS,Kansas,2019,R,
KS,Kansas,2018,R,
KS,Kansas,2017,R,
KY,Kentucky,2024,D,
KY,Kentucky,2023,D,
KY,Kentucky,2022,D,
KY,Kentucky,2021,D,
KY,Kentucky,2020,D,
KY,Kentucky,2019,R,
KY,Kentucky,2018,R,
KY,Kentucky,2017,R,
LA,Louisiana,2024,R,
LA,Louisiana,2023,D,
LA,Louisiana,2022,D,
LA,Louisiana,2021,D,
LA,Louisiana,2020,D,
LA,Louisiana,2019,D,
LA,Louisiana,2018,D,
LA,Louisiana,2017,D,
MA,Massachusetts,2024,D,
MA,Massachusetts,2023,D,
MA,Massachusetts,2022,R,
MA,Massachusetts,2021,R,
MA,Massachusetts,2020,R,
MA,Massachusetts,2019,R,
MA,Massachusetts,2018,R,
