state,Democrats,Republicans,sen_control,elec_year,leg_start,leg_end
Alabama,28,7,D,1990,1991,1994
Alabama,23,12,D,1994,1995,1998
Alabama,23,12,D,1998,1999,2002
Alabama,25,10,D,2002,2003,2006
Alabama,23,12,D,2006,2007,2010
Alabama,12,22,R,2010,2011,2014
Alabama,8,26,R,2014,2015,2018
Alabama,8,27,R,2018,2019,2022
Alabama,8,27,R,2022,2023,0
Alaska,9,10,R,1992,1993,1994
Alaska,8,12,R,1994,1995,1996
Alaska,7,13,R,1996,1997,1998
Alaska,5,15,R,1998,1999,2000
Alaska,6,14,R,2000,2001,2002
Alaska,8,11,R,2002,2003,2004
Alaska,8,12,R,2004,2005,2006
Alaska,9,11,R,2006,2007,2008
Alaska,10,10,R,2008,2009,2010
Alaska,10,10,R,2010,2011,2012
Alaska,7,13,R,2012,2013,2014
Alaska,6,14,R,2014,2015,2016
Alaska,6,14,R,2016,2017,2018
Alaska,7,13,R,2018,2019,2020
Alaska,7,13,R,2020,2021,2022
Alaska,9,11,R,2022,2023,0
Arizona,12,18,R,1992,1993,1994
Arizona,11,19,R,1994,1995,1996
Arizona,12,18,R,1996,1997,1998
Arizona,14,16,R,1998,1999,2000
Arizona,15,15,R,2000,2001,2002
Arizona,13,17,R,2002,2003,2004
Arizona,12,18,R,2004,2005,2006
Arizona,13,17,R,2006,2007,2008
Arizona,12,18,R,2008,2009,2010
Arizona,9,21,R,2010,2011,2012
Arizona,13,17,R,2012,2013,2014
Arizona,13,17,R,2014,2015,2016
Arizona,13,17,R,2016,2017,2018
Arizona,13,17,R,2018,2019,2020
Arizona,14,16,R,2020,2021,2022
Arizona,14,16,R,2022,2023,0
Arkansas,30,5,D,1992,1993,1994
Arkansas,28,7,D,1994,1995,1996
Arkansas,28,6,D,1996,1997,1998
Arkansas,29,6,D,1998,1999,2000
Arkansas,27,8,D,2000,2001,2002
Arkansas,27,8,D,2002,2003,2004
Arkansas,27,8,D,2004,2005,2006
Arkansas,27,8,D,2006,2007,2008
Arkansas,27,8,D,2008,2009,2010
Arkansas,20,15,D,2010,2011,2012
Arkansas,14,21,R,2012,2013,2014
Arkansas,11,24,R,2014,2015,2016
Arkansas,9,26,R,2016,2017,2018
Arkansas,9,26,R,2018,2019,2020
Arkansas,7,28,R,2020,2021,2022
Arkansas,6,29,R,2022,2023,0
California,23,14,D,1992,1993,1994
California,21,17,D,1994,1995,1996
California,24,15,D,1996,1997,1998
California,25,15,D,1998,1999,2000
California,26,14,D,2000,2001,2002
California,26,14,D,2002,2003,2004
California,25,15,D,2004,2005,2006
California,25,15,D,2006,2007,2008
California,26,14,D,2008,2009,2010
California,25,14,D,2010,2011,2012
California,26,12,D,2012,2013,2014
California,25,14,D,2014,2015,2016
California,27,13,D,2016,2017,2018
California,29,11,D,2018,2019,2020
California,30,9,D,2020,2021,2022
California,32,8,D,2022,2023,0
Colorado,16,19,R,1992,1993,1994
Colorado,16,19,R,1994,1995,1996
Colorado,15,20,R,1996,1997,1998
Colorado,14,21,R,1998,1999,2000
Colorado,18,17,D,2000,2001,2002
Colorado,17,18,R,2002,2003,2004
Colorado,18,17,D,2004,2005,2006
Colorado,20,15,D,2006,2007,2008
Colorado,21,14,D,2008,2009,2010
Colorado,20,15,D,2010,2011,2012
Colorado,19,16,D,2012,2013,2014
Colorado,17,18,R,2014,2015,2016
Colorado,17,18,R,2016,2017,2018
Colorado,19,16,D,2018,2019,2020
Colorado,20,15,D,2020,2021,2022
Colorado,23,12,D,2022,2023,0
Connecticut,20,16,D,1992,1993,1994
Connecticut,17,19,R,1994,1995,1996
Connecticut,19,17,D,1996,1997,1998
Connecticut,19,17,D,1998,1999,2000
Connecticut,21,15,D,2000,2001,2002
Connecticut,21,15,D,2002,2003,2004
Connecticut,24,12,D,2004,2005,2006
Connecticut,24,12,D,2006,2007,2008
Connecticut,24,12,D,2008,2009,2010
Connecticut,23,13,D,2010,2011,2012
Connecticut,22,14,D,2012,2013,2014
Connecticut,21,15,D,2014,2015,2016
Connecticut,18,18,R,2016,2017,2018
Connecticut,23,13,D,2018,2019,2020
Connecticut,24,12,D,2020,2021,2022
Connecticut,24,12,D,2022,2023,0
Delaware,15,6,D,1992,1993,1994
Delaware,12,9,D,1994,1995,1996
Delaware,15,6,D,1996,1997,1998
Delaware,13,8,D,1998,1999,2000
Delaware,13,8,D,2000,2001,2002
Delaware,13,8,D,2002,2003,2004
Delaware,13,8,D,2004,2005,2006
Delaware,13,8,D,2006,2007,2008
Delaware,16,5,D,2008,2009,2010
Delaware,14,7,D,2010,2011,2012
Delaware,13,8,D,2012,2013,2014
Delaware,12,9,D,2014,2015,2016
Delaware,11,10,D,2016,2017,2018
Delaware,12,9,D,2018,2019,2020
Delaware,14,7,D,2020,2021,2022
Delaware,15,6,D,2022,2023,0
Florida,20,20,R,1992,1993,1994
Florida,19,21,R,1994,1995,1996
Florida,17,23,R,1996,1997,1998
Florida,15,25,R,1998,1999,2000
Florida,15,25,R,2000,2001,2002
Florida,14,26,R,2002,2003,2004
Florida,14,26,R,2004,2005,2006
Florida,14,26,R,2006,2007,2008
Florida,14,26,R,2008,2009,2010
Florida,12,28,R,2010,2011,2012
Florida,14,26,R,2012,2013,2014
Florida,14,26,R,2014,2015,2016
Florida,15,25,R,2016,2017,2018
Florida,17,23,R,2018,2019,2020
Florida,16,24,R,2020,2021,2022
Florida,12,28,R,2022,2023,0
Georgia,41,15,D,1992,1993,1994
Georgia,35,21,D,1994,1995,1996
Georgia,34,22,D,1996,1997,1998
Georgia,34,22,D,1998,1999,2000
Georgia,32,24,D,2000,2001,2002
Georgia,26,30,R,2002,2003,2004
Georgia,22,34,R,2004,2005,2006
Georgia,22,34,R,2006,2007,2008
Georgia,22,34,R,2008,2009,2010
Georgia,20,36,R,2010,2011,2012
Georgia,18,38,R,2012,2013,2014
Georgia,18,38,R,2014,2015,2016
Georgia,18,38,R,2016,2017,2018
Georgia,21,35,R,2018,2019,2020
Georgia,22,34,R,2020,2021,2022
Georgia,23,33,R,2022,2023,0
Hawaii,22,3,D,1992,1993,1994
Hawaii,23,2,D,1994,1995,1996
Hawaii,23,2,D,1996,1997,1998
Hawaii,23,2,D,1998,1999,2000
Hawaii,22,3,D,2000,2001,2002
Hawaii,20,5,D,2002,2003,2004
Hawaii,20,5,D,2004,2005,2006
Hawaii,20,5,D,2006,2007,2008
Hawaii,23,2,D,2008,2009,2010
Hawaii,24,1,D,2010,2011,2012
Hawaii,24,1,D,2012,2013,2014
Hawaii,24,1,D,2014,2015,2016
Hawaii,25,0,D,2016,2017,2018
Hawaii,24,1,D,2018,2019,2020
Hawaii,24,1,D,2020,2021,2022
Hawaii,23,2,D,2022,2023,0
Idaho,12,23,R,1992,1993,1994
Idaho,8,27,R,1994,1995,1996
Idaho,5,30,R,1996,1997,1998
Idaho,4,31,R,1998,1999,2000
Idaho,3,32,R,2000,2001,2002
Idaho,7,28,R,2002,2003,2004
Idaho,7,28,R,2004,2005,2006
Idaho,7,28,R,2006,2007,2008
Idaho,7,28,R,2008,2009,2010
Idaho,7,28,R,2010,2011,2012
Idaho,6,29,R,2012,2013,2014
Idaho,7,28,R,2014,2015,2016
Idaho,6,29,R,2016,2017,2018
Idaho,7,28,R,2018,2019,2020
Idaho,7,28,R,2020,2021,2022
Idaho,7,28,R,2022,2023,0
Illinois,27,32,R,1992,1993,1994
Illinois,26,33,R,1994,1995,1996
Illinois,28,31,R,1996,1997,1998
Illinois,27,32,R,1998,1999,2000
Illinois,27,32,R,2000,2001,2002
Illinois,32,27,D,2002,2003,2004
Illinois,31,27,D,2004,2005,2006
Illinois,37,22,D,2006,2007,2008
Illinois,37,22,D,2008,2009,2010
Illinois,35,23,D,2010,2011,2012
Illinois,40,19,D,2012,2013,2014
Illinois,39,20,D,2014,2015,2016
Illinois,37,22,D,2016,2017,2018
Illinois,40,19,D,2018,2019,2020
Illinois,41,18,D,2020,2021,2022
Illinois,40,19,D,2022,2023,0
Indiana,22,28,R,1992,1993,1994
Indiana,20,30,R,1994,1995,1996
Indiana,19,31,R,1996,1997,1998
Indiana,19,31,R,1998,1999,2000
Indiana,18,32,R,2000,2001,2002
Indiana,18,32,R,2002,2003,2004
Indiana,17,33,R,2004,2005,2006
Indiana,17,33,R,2006,2007,2008
Indiana,17,33,R,2008,2009,2010
Indiana,14,36,R,2010,2011,2012
Indiana,13,37,R,2012,2013,2014
Indiana,10,40,R,2014,2015,2016
Indiana,9,41,R,2016,2017,2018
Indiana,10,40,R,2018,2019,2020
Indiana,11,39,R,2020,2021,2022
Indiana,10,40,R,2022,2023,0
Iowa,26,24,D,1992,1993,1994
Iowa,27,23,D,1994,1995,1996
Iowa,21,29,R,1996,1997,1998
Iowa,20,30,R,1998,1999,2000
Iowa,20,30,R,2000,2001,2002
Iowa,21,29,R,2002,2003,2004
Iowa,25,25,R,2004,2005,2006
Iowa,30,20,D,2006,2007,2008
Iowa,32,18,D,2008,2009,2010
Iowa,27,23,D,2010,2011,2012
Iowa,26,23,D,2012,2013,2014
Iowa,26,24,D,2014,2015,2016
Iowa,20,29,R,2016,2017,2018
Iowa,18,31,R,2018,2019,2020
Iowa,18,32,R,2020,2021,2022
Iowa,16,34,R,2022,2023,0
Kansas,14,26,R,1992,1993,1996
Kansas,13,27,R,1996,1997,2000
Kansas,10,30,R,2000,2001,2004
Kansas,10,30,R,2004,2005,2008
Kansas,9,31,R,2008,2009,2012
Kansas,9,31,R,2012,2013,2016
Kansas,9,31,R,2016,2017,2020
Kansas,11,29,R,2020,2021,0
Kentucky,25,13,D,1992,1993,1994
Kentucky,21,17,D,1994,1995,1996
Kentucky,20,18,D,1996,1997,1998
Kentucky,20,18,D,1998,1999,2000
Kentucky,18,20,R,2000,2001,2002
Kentucky,17,21,R,2002,2003,2004
Kentucky,15,23,R,2004,2005,2006
Kentucky,16,21,R,2006,2007,2008
Kentucky,15,22,R,2008,2009,2010
Kentucky,15,22,R,2010,2011,2012
Kentucky,14,23,R,2012,2013,2014
Kentucky,12,26,R,2014,2015,2016
Kentucky,11,27,R,2016,2017,2018
Kentucky,10,28,R,2018,2019,2020
Kentucky,8,30,R,2020,2021,2022
Kentucky,7,31,R,2022,2023,0
Louisiana,33,6,D,1991,1992,1995
Louisiana,25,14,D,1995,1996,1999
Louisiana,27,12,D,1999,2000,2003
Louisiana,24,15,D,2003,2004,2007
Louisiana,24,15,D,2007,2008,2011
Louisiana,15,24,R,2011,2012,2015
Louisiana,14,25,R,2015,2016,2019
Louisiana,12,27,R,2019,2020,2023
Louisiana,11,28,R,2023,2024,0
Maine,20,15,D,1992,1993,1994
Maine,16,18,R,1994,1995,1996
Maine,19,15,D,1996,1997,1998
Maine,20,14,D,1998,1999,2000
Maine,17,17,R,2000,2001,2002
Maine,18,17,D,2002,2003,2004
Maine,18,17,D,2004,2005,2006
Maine,18,17,D,2006,2007,2008
Maine,20,15,D,2008,2009,2010
Maine,14,20,R,2010,2011,2012
Maine,21,13,D,2012,2013,2014
Maine,15,20,R,2014,2015,2016
Maine,17,18,R,2016,2017,2018
Maine,21,14,D,2018,2019,2020
Maine,22,13,D,2020,2021,2022
Maine,22,13,D,2022,2023,0
Maryland,40,7,D,1990,1991,1994
Maryland,32,15,D,1994,1995,1998
Maryland,32,15,D,1998,1999,2002
Maryland,33,14,D,2002,2003,2006
Maryland,33,14,D,2006,2007,2010
Maryland,35,12,D,2010,2011,2014
Maryland,33,14,D,2014,2015,2018
Maryland,32,15,D,2018,2019,2022
Maryland,34,13,D,2022,2023,0
Massachusetts,31,9,D,1992,1993,1994
Massachusetts,30,10,D,1994,1995,1996
Massachusetts,34,6,D,1996,1997,1998
Massachusetts,33,7,D,1998,1999,2000
Massachusetts,34,6,D,2000,2001,2002
Massachusetts,34,6,D,2002,2003,2004
Massachusetts,34,6,D,2004,2005,2006
Massachusetts,35,5,D,2006,2007,2008
Massachusetts,35,5,D,2008,2009,2010
Massachusetts,36,4,D,2010,2011,2012
Massachusetts,36,4,D,2012,2013,2014
Massachusetts,34,6,D,2014,2015,2016
Massachusetts,34,6,D,2016,2017,2018
Massachusetts,34,6,D,2018,2019,2020
Massachusetts,37,3,D,2020,2021,2022
Massachusetts,37,3,D,2022,2023,0
Michigan,18,20,R,1990,1991,1994
Michigan,16,22,R,1994,1995,1998
Michigan,15,23,R,1998,1999,2002
Michigan,16,22,R,2002,2003,2006
Michigan,17,21,R,2006,2007,2010
Michigan,12,26,R,2010,2011,2014
Michigan,11,27,R,2014,2015,2018
Michigan,16,22,R,2018,2019,2022
Michigan,20,18,D,2022,2023,0
Minnesota,45,22,D,1992,1993,1996
Minnesota,42,25,D,1996,1997,2000
Minnesota,39,27,D,2000,2001,2002
Minnesota,35,31,D,2002,2003,2006
Minnesota,44,23,D,2006,2007,2010
Minnesota,30,37,R,2010,2011,2012
Minnesota,39,28,D,2012,2013,2016
Minnesota,33,34,R,2016,2017,2020
Minnesota,31,34,R,2020,2021,2022
Minnesota,34,33,D,2022,2023,0
Mississippi,39,13,D,1991,1992,1995
Mississippi,34,18,D,1995,1996,1999
Mississippi,34,18,D,1999,2000,2003
Mississippi,27,24,D,2003,2004,2007
Mississippi,28,24,D,2007,2008,2011
Mississippi,21,31,R,2011,2012,2015
Mississippi,20,32,R,2015,2016,2019
Mississippi,16,36,R,2019,2020,2023
Mississippi,16,36,R,2023,2024,0
Missouri,203,13,D,1992,1993,1994
Missouri,19,15,D,1994,1995,1996
Missouri,19,15,D,1996,1997,1998
Missouri,18,16,D,1998,1999,2000
Missouri,17,17,R,2000,2001,2002
Missouri,14,20,R,2002,2003,2004
Missouri,11,23,R,2004,2005,2006
Missouri,13,21,R,2006,2007,2008
Missouri,11,23,R,2008,2009,2010
Missouri,8,26,R,2010,2011,2012
Missouri,10,24,R,2012,2013,2014
Missouri,9,25,R,2014,2015,2016
Missouri,9,25,R,2016,2017,2018
Missouri,10,24,R,2018,2019,2020
Missouri,10,24,R,2020,2021,2022
Missouri,10,24,R,2022,2023,0
Montana,30,20,D,1992,1993,1994
Montana,19,31,R,1994,1995,1996
Montana,16,34,R,1996,1997,1998
Montana,18,32,R,1998,1999,2000
Montana,19,31,R,2000,2001,2002
Montana,21,29,R,2002,2003,2004
Montana,27,23,D,2004,2005,2006
Montana,26,24,D,2006,2007,2008
Montana,23,27,R,2008,2009,2010
Montana,22,28,R,2010,2011,2012
Montana,23,27,R,2012,2013,2014
Montana,21,29,R,2014,2015,2016
Montana,18,32,R,2016,2017,2018
Montana,20,30,R,2018,2019,2020
Montana,19,31,R,2020,2021,2022
Montana,16,34,R,2022,2023,0
Nevada,10,11,R,1992,1993,1994
Nevada,8,13,R,1994,1995,1996
Nevada,9,12,R,1996,1997,1998
Nevada,9,12,R,1998,1999,2000
Nevada,9,12,R,2000,2001,2002
Nevada,9,12,R,2002,2003,2004
Nevada,9,12,R,2004,2005,2006
Nevada,10,11,R,2006,2007,2008
Nevada,12,9,D,2008,2009,2010
Nevada,11,10,D,2010,2011,2012
Nevada,11,10,D,2012,2013,2014
Nevada,10,11,R,2014,2015,2016
Nevada,11,10,D,2016,2017,2018
Nevada,13,8,D,2018,2019,2020
Nevada,12,9,D,2020,2021,2022
Nevada,13,8,D,2022,2023,0
New_Hampshire,11,13,R,1992,1993,1994
New_Hampshire,6,18,R,1994,1995,1996
New_Hampshire,9,15,R,1996,1997,1998
New_Hampshire,13,11,D,1998,1999,2000
New_Hampshire,11,13,R,2000,2001,2002
New_Hampshire,6,18,R,2002,2003,2004
New_Hampshire,8,16,R,2004,2005,2006
New_Hampshire,14,10,D,2006,2007,2008
New_Hampshire,14,10,D,2008,2009,2010
New_Hampshire,5,19,R,2010,2011,2012
New_Hampshire,11,13,R,2012,2013,2014
New_Hampshire,10,14,R,2014,2015,2016
New_Hampshire,10,14,R,2016,2017,2018
New_Hampshire,14,10,D,2018,2019,2020
New_Hampshire,10,14,R,2020,2021,2022
New_Hampshire,10,14,R,2022,2023,0
New_Jersey,13,27,R,1991,1992,1993
New_Jersey,16,24,R,1993,1994,1997
New_Jersey,16,24,R,1997,1998,2001
New_Jersey,20,20,R,2001,2002,2003
New_Jersey,22,18,D,2003,2004,2007
New_Jersey,23,17,D,2007,2008,2011
New_Jersey,24,16,D,2011,2012,2013
New_Jersey,24,16,D,2013,2014,2017
New_Jersey,25,15,D,2017,2018,2021
New_Jersey,24,16,D,2021,2022,2023
New_Jersey,25,15,D,2023,2024,0
New_Mexico,27,15,D,1992,1993,1996
New_Mexico,25,17,D,1996,1997,2000
New_Mexico,24,18,D,2000,2001,2004
New_Mexico,23,19,D,2004,2005,2008
New_Mexico,27,15,D,2008,2009,2012
New_Mexico,25,17,D,2012,2013,2016
New_Mexico,26,16,D,2016,2017,2020
New_Mexico,27,15,D,2020,2021,0
New_York,26,35,R,1992,1993,1994
New_York,25,36,R,1994,1995,1996
New_York,26,35,R,1996,1997,1998
New_York,26,35,R,1998,1999,2000
New_York,25,36,R,2000,2001,2002
New_York,25,37,R,2002,2003,2004
New_York,27,35,R,2004,2005,2006
New_York,29,33,R,2006,2007,2008
New_York,32,30,D,2008,2009,2010
New_York,30,32,R,2010,2011,2012
New_York,33,30,D,2012,2013,2014
New_York,31,32,R,2014,2015,2016
New_York,32,31,D,2016,2017,2018
New_York,40,23,D,2018,2019,2020
New_York,43,20,D,2020,2021,2022
New_York,42,21,D,2022,2023,0
North_Carolina,39,11,D,1992,1993,1994
North_Carolina,26,24,D,1994,1995,1996
North_Carolina,30,20,D,1996,1997,1998
North_Carolina,35,15,D,1998,1999,2000
North_Carolina,35,15,D,2000,2001,2002
North_Carolina,28,22,D,2002,2003,2004
North_Carolina,29,21,D,2004,2005,2006
North_Carolina,31,19,D,2006,2007,2008
North_Carolina,30,20,D,2008,2009,2010
North_Carolina,19,31,R,2010,2011,2012
North_Carolina,18,32,R,2012,2013,2014
North_Carolina,16,34,R,2014,2015,2016
North_Carolina,15,35,R,2016,2017,2018
North_Carolina,21,29,R,2018,2019,2020
North_Carolina,22,28,R,2020,2021,2022
North_Carolina,20,30,R,2022,2023,0
North_Dakota,25,24,D,1992,1993,1994
North_Dakota,20,29,R,1994,1995,1996
North_Dakota,19,30,R,1996,1997,1998
North_Dakota,18,31,R,1998,1999,2000
North_Dakota,18,31,R,2000,2001,2002
North_Dakota,16,31,R,2002,2003,2004
North_Dakota,15,32,R,2004,2005,2006
North_Dakota,21,26,R,2006,2007,2008
North_Dakota,21,26,R,2008,2009,2010
North_Dakota,12,35,R,2010,2011,2012
North_Dakota,13,33,R,2012,2013,2014
North_Dakota,15,32,R,2014,2015,2016
North_Dakota,9,38,R,2016,2017,2018
North_Dakota,10,37,R,2018,2019,2020
North_Dakota,7,40,R,2020,2021,2022
North_Dakota,4,43,R,2022,2023,0
Ohio,13,20,R,1992,1993,1994
Ohio,13,20,R,1994,1995,1996
Ohio,12,21,R,1996,1997,1998
Ohio,12,21,R,1998,1999,2000
Ohio,12,21,R,2000,2001,2002
Ohio,11,22,R,2002,2003,2004
Ohio,11,22,R,2004,2005,2006
Ohio,12,21,R,2006,2007,2008
Ohio,12,21,R,2008,2009,2010
Ohio,10,23,R,2010,2011,2012
Ohio,10,23,R,2012,2013,2014
Ohio,10,23,R,2014,2015,2016
Ohio,9,24,R,2016,2017,2018
Ohio,9,24,R,2018,2019,2020
Ohio,8,25,R,2020,2021,2022
Ohio,7,26,R,2022,2023,0
Oklahoma,37,11,D,1992,1993,1994
Oklahoma,35,13,D,1994,1995,1996
Oklahoma,33,15,D,1996,1997,1998
Oklahoma,33,15,D,1998,1999,2000
Oklahoma,30,18,D,2000,2001,2002
Oklahoma,28,20,D,2002,2003,2004
Oklahoma,26,22,D,2004,2005,2006
Oklahoma,24,24,R,2006,2007,2008
Oklahoma,22,26,R,2008,2009,2010
Oklahoma,16,32,R,2010,2011,2012
Oklahoma,12,36,R,2012,2013,2014
Oklahoma,8,40,R,2014,2015,2016
Oklahoma,6,42,R,2016,2017,2018
Oklahoma,9,39,R,2018,2019,2020
Oklahoma,9,39,R,2020,2021,2022
Oklahoma,8,40,R,2022,2023,0
Oregon,16,14,D,1992,1993,1994
Oregon,11,19,R,1994,1995,1996
Oregon,10,20,R,1996,1997,1998
Oregon,12,18,R,1998,1999,2000
Oregon,14,16,R,2000,2001,2002
Oregon,15,15,R,2002,2003,2004
Oregon,18,12,D,2004,2005,2006
Oregon,17,11,D,2006,2007,2008
Oregon,18,12,D,2008,2009,2010
Oregon,16,14,D,2010,2011,2012
Oregon,16,14,D,2012,2013,2014
Oregon,18,12,D,2014,2015,2016
Oregon,17,13,D,2016,2017,2018
Oregon,18,12,D,2018,2019,2020
Oregon,18,12,D,2020,2021,2022
Oregon,17,12,D,2022,2023,0
Pennsylvania,25,25,R,1992,1993,1994
Pennsylvania,21,29,R,1994,1995,1996
Pennsylvania,20,30,R,1996,1997,1998
Pennsylvania,20,30,R,1998,1999,2000
Pennsylvania,20,30,R,2000,2001,2002
Pennsylvania,21,29,R,2002,2003,2004
Pennsylvania,20,30,R,2004,2005,2006
Pennsylvania,21,29,R,2006,2007,2008
Pennsylvania,20,29,R,2008,2009,2010
Pennsylvania,20,30,R,2010,2011,2012
Pennsylvania,23,27,R,2012,2013,2014
Pennsylvania,20,30,R,2014,2015,2016
Pennsylvania,16,34,R,2016,2017,2018
Pennsylvania,21,29,R,2018,2019,2020
Pennsylvania,21,29,R,2020,2021,2022
Pennsylvania,22,28,R,2022,2023,0
Rhode_Island,39,11,D,1992,1993,1994
Rhode_Island,40,10,D,1994,1995,1996
Rhode_Island,41,9,D,1996,1997,1998
Rhode_Island,42,8,D,1998,1999,2000
Rhode_Island,44,6,D,2000,2001,2002
Rhode_Island,32,6,D,2002,2003,2004
Rhode_Island,33,5,D,2004,2005,2006
Rhode_Island,33,5,D,2006,2007,2008
Rhode_Island,33,4,D,2008,2009,2010
Rhode_Island,29,8,D,2010,2011,2012
Rhode_Island,32,5,D,2012,2013,2014
Rhode_Island,32,5,D,2014,2015,2016
Rhode_Island,33,5,D,2016,2017,2018
Rhode_Island,33,5,D,2018,2019,2020
Rhode_Island,33,5,D,2020,2021,2022
Rhode_Island,33,5,D,2022,2023,0
South_Carolina,30,16,D,1992,1993,1996
South_Carolina,26,20,D,1996,1997,2000
South_Carolina,22,24,R,2000,2001,2004
South_Carolina,19,27,R,2004,2005,2008
South_Carolina,19,27,R,2008,2009,2012
South_Carolina,18,28,R,2012,2013,2016
South_Carolina,18,28,R,2016,2017,2020
South_Carolina,16,30,R,2020,2021,0
South_Dakota,20,15,D,1992,1993,1994
South_Dakota,16,19,R,1994,1995,1996
South_Dakota,13,22,R,1996,1997,1998
South_Dakota,13,22,R,1998,1999,2000
South_Dakota,12,23,R,2000,2001,2002
South_Dakota,10,25,R,2002,2003,2004
South_Dakota,10,25,R,2004,2005,2006
South_Dakota,15,20,R,2006,2007,2008
South_Dakota,14,20,R,2008,2009,2010
South_Dakota,5,30,R,2010,2011,2012
South_Dakota,7,28,R,2012,2013,2014
South_Dakota,8,27,R,2014,2015,2016
South_Dakota,6,29,R,2016,2017,2018
South_Dakota,5,30,R,2018,2019,2020
South_Dakota,3,32,R,2020,2021,2022
South_Dakota,4,31,R,2022,2023,0
Tennessee,19,14,D,1992,1993,1994
Tennessee,18,15,D,1994,1995,1996
Tennessee,18,15,D,1996,1997,1998
Tennessee,18,15,D,1998,1999,2000
Tennessee,18,15,D,2000,2001,2002
Tennessee,18,15,D,2002,2003,2004
Tennessee,16,17,R,2004,2005,2006
Tennessee,16,17,R,2006,2007,2008
Tennessee,14,19,R,2008,2009,2010
Tennessee,13,20,R,2010,2011,2012
Tennessee,7,26,R,2012,2013,2014
Tennessee,6,27,R,2014,2015,2016
Tennessee,5,28,R,2016,2017,2018
Tennessee,5,28,R,2018,2019,2020
Tennessee,6,27,R,2020,2021,2022
Tennessee,6,27,R,2022,2023,0
Texas,18,13,D,1992,1993,1994
Texas,17,14,D,1994,1995,1996
Texas,15,16,R,1996,1997,1998
Texas,15,16,R,1998,1999,2000
Texas,15,16,R,2000,2001,2002
Texas,12,19,R,2002,2003,2004
Texas,12,19,R,2004,2005,2006
Texas,11,20,R,2006,2007,2008
Texas,12,19,R,2008,2009,2010
Texas,12,19,R,2010,2011,2012
